Reading xml
not well-formed (invalid token): line 1, column 0
syntax error: line 1, column 0
29200000 records processed.   @2016-03-31T16:00:49.857
29300000 records processed.   @2016-04-07T05:37:50.223
29400000 records processed.   @2016-04-13T11:53:07.213
29500000 records processed.   @2016-04-19T18:07:21.460
29600000 records processed.   @2016-04-26T03:15:37.617
29700000 records processed.   @2016-05-02T12:57:51.703
29800000 records processed.   @2016-05-09T09:17:45.837
29900000 records processed.   @2016-05-15T15:43:10.743
30000000 records processed.   @2016-05-22T00:21:52.723
30100000 records processed.   @2016-05-28T11:11:59.107
30200000 records processed.   @2016-06-04T07:33:43.493
30300000 records processed.   @2016-06-10T22:41:13.783
30400000 records processed.   @2016-06-17T17:58:25.937
30500000 records processed.   @2016-06-24T15:14:30.403
30600000 records processed.   @2016-07-01T12:38:52.527
30700000 records processed.   @2016-07-08T19:57:55.837
30800000 records processed.   @2016-07-15T19:37:44.147
30900000 records processed.   @2016-07-22T19:08:04.723
31000000 records processed.   @2016-07-29T16:17:15.317
31100000 records processed.   @2016-08-05T17:08:13.573
31200000 records processed.   @2016-08-12T18:11:37.583
31300000 records processed.   @2016-08-20T10:43:21.917
31400000 records processed.   @2016-08-27T15:03:26.803
31500000 records processed.   @2016-09-04T00:14:36.163
31600000 records processed.   @2016-09-12T03:44:28.110
31700000 records processed.   @2016-09-19T12:30:06.733
31800000 records processed.   @2016-09-26T12:44:50.590
31900000 records processed.   @2016-10-03T13:51:31.227
32000000 records processed.   @2016-10-10T17:09:40.790
32100000 records processed.   @2016-10-17T19:00:33.373
32200000 records processed.   @2016-10-24T17:50:38.770
32300000 records processed.   @2016-11-01T06:40:45.240
32400000 records processed.   @2016-11-08T11:56:32.827
32500000 records processed.   @2016-11-15T19:00:26.047
32600000 records processed.   @2016-11-22T17:11:56.053
32700000 records processed.   @2016-11-30T00:23:56.060
32800000 records processed.   @2016-12-07T02:49:37.803
32900000 records processed.   @2016-12-14T09:24:07.890
33000000 records processed.   @2016-12-21T17:54:32.523
33100000 records processed.   @2016-12-30T15:58:55.177
33200000 records processed.   @2017-01-08T00:01:21.710
33300000 records processed.   @2017-01-15T01:43:15.333
33400000 records processed.   @2017-01-22T00:56:23.053
33500000 records processed.   @2017-01-29T05:01:50.740
33600000 records processed.   @2017-02-04T23:59:25.430
33700000 records processed.   @2017-02-11T14:06:45.030
33800000 records processed.   @2017-02-17T20:33:32.960
33900000 records processed.   @2017-02-24T10:49:41.073
34000000 records processed.   @2017-03-02T22:42:10.400
34100000 records processed.   @2017-03-09T14:18:38.837
34200000 records processed.   @2017-03-16T07:05:18.237
34300000 records processed.   @2017-03-22T16:09:36.847
34400000 records processed.   @2017-03-29T08:02:04.593
34500000 records processed.   @2017-04-04T22:01:10.427
34600000 records processed.   @2017-04-11T15:39:08.730
34700000 records processed.   @2017-04-18T20:32:48.260
34800000 records processed.   @2017-04-25T13:55:17.373
34900000 records processed.   @2017-05-02T17:23:39.157
35000000 records processed.   @2017-05-09T15:52:43.943
35100000 records processed.   @2017-05-16T15:05:12.680
35200000 records processed.   @2017-05-23T12:59:10.763
35300000 records processed.   @2017-05-30T15:24:49.007
35400000 records processed.   @2017-06-06T18:14:09.293
35500000 records processed.   @2017-06-13T17:55:08.960
35600000 records processed.   @2017-06-20T17:36:13.593
35700000 records processed.   @2017-06-27T21:40:34.970
